05:33:13.865;ff 07 39 0c 00 00 60 02 df 00 0a;0x707
05:33:13.872;ff 08 c4 0f c2 0f b3 0f b8 0f 0a;0x708
05:33:13.878;ff 09 cb 0f b3 0f c9 0f 00 80 0a;0x709
05:33:13.886;ff 0b b2 0f b6 0f bb 0f b8 0f 0a;0x70b
05:33:13.889;ff 0c ba 0f ae 0f c6 0f 00 80 0a;0x70c
05:33:13.901;ff f4 00 00 00 00 00 00 80 3f 0a;0x7f4
05:33:13.903;ff f5 00 00 00 00 00 00 00 00 0a;0x7f5
05:33:13.905;ff f6 b4 fc 2a fe 42 fb 2d 00 0a;0x7f6
05:33:13.907;ff f7 5c 04 00 00 5b 02 01 00 0a;0x7f7
05:33:13.913;ff f8 ae 0f d6 0f 04 05 01 06 0a;0x7f8
05:33:13.917;ff f9 df 00 e6 00 03 00 01 00 0a;0x7f9
05:33:13.919;ff fa 90 b9 01 00 02 00 00 00 0a;0x7fa
05:33:13.929;ff fb 8a 0c 80 0c 80 04 a3 03 0a;0x7fb
05:33:13.932;ff fc 00 00 00 00 1d 00 70 00 0a;0x7fc
05:33:13.937;ff fd 80 80 00 00 00 00 00 00 0a;0x7fd
05:33:14.840;fe 00 48 f7 b5 3d 13 43 91 3c 0a;0x600
05:33:14.846;fe 01 2a 91 e1 42 f5 5d 6a 37 0a;0x601
05:33:14.849;fe 02 14 65 b9 41 1a e8 e8 41 0a;0x602
05:33:14.851;fe 30 31 02 84 82 1e 02 00 00 0a;0x630
05:33:14.853;fe 60 31 02 b4 11 00 00 00 00 0a;0x660
05:33:14.858;fe 61 00 00 00 00 00 00 00 01 0a;0x661
05:33:14.876;ff 00 00 10 00 00 eb 0b 00 00 0a;0x700
05:33:14.879;ff 01 3c 0c 00 00 65 02 e5 00 0a;0x701
05:33:14.885;ff 02 c1 0f b7 0f b1 0f ba 0f 0a;0x702
05:33:14.888;ff 03 b7 0f b8 0f d6 0f 00 80 0a;0x703
05:33:14.891;ff 04 48 0c 00 00 4b 02 e6 00 0a;0x704
05:33:14.894;ff 05 b7 0f ba 0f bb 0f bf 0f 0a;0x705
05:33:14.899;ff 06 b8 0f c1 0f b6 0f 00 80 0a;0x706
05:33:14.910;ff 07 39 0c 00 00 5f 02 df 00 0a;0x707
