pos;nr;name;team;brand;model;drivernum;drivername;pit_reason;time_pit_in;pitcount;time_pit_out;lapnumber;time_of_day (lap end);racetime;laptime;sector_1_time;sector_2_time;sector_3_time;Sector 3;Sector 4
5;31;Solar Energy Racers SER;;SER-5;;;Jonas;Charge;18:53:57;3;;80;18:54:15.940;05:54:15.364;4:23.361;1:20.192;1:32.428;;75.35;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;19:33:07;81;19:37:14.289;06:37:13.713;42:58.349;;1:32.779;1:14.372;64.41;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;82;19:41:19.297;06:41:18.721;4:05.008;1:18.308;1:31.877;1:14.823;65.45;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;83;19:45:32.106;06:45:31.530;4:12.809;1:17.109;1:41.940;1:13.760;55.01;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;84;19:49:45.920;06:49:45.344;4:13.814;1:20.704;1:34.439;1:18.671;57.65;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;85;19:54:12.113;06:54:11.537;4:26.193;1:24.454;1:41.595;1:20.144;57.04;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;86;19:58:32.421;06:58:31.845;4:20.308;1:24.013;1:40.814;1:15.481;57.96;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;87;20:02:54.295;07:02:53.719;4:21.874;1:24.092;1:39.236;1:18.546;61.02;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;88;20:07:15.610;07:07:15.034;4:21.315;1:24.197;1:39.181;1:17.937;66.39;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;89;20:11:48.961;07:11:48.385;4:33.351;1:22.274;1:39.739;1:31.338;54.82;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;90;20:16:24.277;07:16:23.701;4:35.316;1:21.027;1:37.998;1:36.291;58.8;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;91;20:20:44.521;07:20:43.945;4:20.244;1:24.444;1:35.943;1:19.857;64.67;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;92;20:24:57.408;07:24:56.832;4:12.887;1:22.744;1:36.098;1:14.045;62.79;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;93;20:29:16.911;07:29:16.335;4:19.503;1:21.210;1:37.120;1:21.173;56.64;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;94;20:33:40.632;07:33:40.056;4:23.721;1:22.583;1:41.885;1:19.253;57.24;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;95;20:38:09.624;07:38:09.048;4:28.992;1:25.791;1:42.423;1:20.778;57.96;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;96;20:42:39.745;07:42:39.169;4:30.121;1:24.937;1:45.168;1:20.016;57.86;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;97;20:47:07.108;07:47:06.532;4:27.363;1:25.938;1:39.372;1:22.053;57.35;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;98;20:51:38.294;07:51:37.718;4:31.186;1:25.131;1:42.345;1:23.710;57.24;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;99;20:56:11.431;07:56:10.855;4:33.137;1:27.793;1:42.838;1:22.506;59.02;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;100;21:00:50.064;08:00:49.488;4:38.633;1:25.185;1:48.354;1:25.094;60.22;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;101;21:05:18.717;08:05:18.141;4:28.653;1:23.278;1:44.373;1:21.002;59.67;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;102;21:09:49.763;08:09:49.187;4:31.046;1:23.711;1:44.926;1:22.409;59.34;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;103;21:14:17.503;08:14:16.927;4:27.740;1:24.150;1:42.506;1:21.084;55.38;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;104;21:18:59.307;08:18:58.731;4:41.804;1:25.443;1:48.110;1:28.251;53.03;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;105;21:23:32.987;08:23:32.411;4:33.680;1:25.793;1:43.131;1:24.756;;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;Driver Change;21:28:12;4;;106;21:28:34.156;08:28:33.580;5:01.169;1:29.425;1:44.296;;56.06;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;21:34:37;107;21:39:04.655;08:39:04.079;10:30.499;;1:38.774;1:24.712;65.32;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;108;21:43:46.204;08:43:45.628;4:41.549;1:25.136;1:48.401;1:28.012;53.47;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;109;21:48:13.089;08:48:12.513;4:26.885;1:21.865;1:41.498;1:23.522;53.55;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;110;21:52:43.702;08:52:43.126;4:30.613;1:25.583;1:41.649;1:23.381;53.55;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;111;21:57:12.101;08:57:11.525;4:28.399;1:24.952;1:38.990;1:24.457;55.38;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;112;22:01:43.332;09:01:42.756;4:31.231;1:27.277;1:39.778;1:24.176;54.18;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;113;22:06:23.058;09:06:22.482;4:39.726;1:30.238;1:44.814;1:24.674;58.91;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;114;22:10:53.651;09:10:53.075;4:30.593;1:26.948;1:41.316;1:22.329;56.74;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;115;22:15:23.876;09:15:23.300;4:30.225;1:25.599;1:41.250;1:23.376;54.36;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;116;22:19:49.843;09:19:49.267;4:25.967;1:23.101;1:39.767;1:23.099;58.59;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;117;22:24:24.781;09:24:24.205;4:34.938;1:23.231;1:46.151;1:25.556;57.35;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;118;22:29:02.776;09:29:02.200;4:37.995;1:28.126;1:46.304;1:23.565;63.16;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;119;22:33:26.730;09:33:26.154;4:23.954;1:23.612;1:41.179;1:19.163;66.26;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;120;22:37:57.788;09:37:57.212;4:31.058;1:24.551;1:43.858;1:22.649;64.29;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;121;22:42:25.762;09:42:25.186;4:27.974;1:22.911;1:45.184;1:19.879;63.53;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;122;22:46:41.905;09:46:41.329;4:16.143;1:21.285;1:37.471;1:17.387;57.55;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;123;22:50:58.875;09:50:58.299;4:16.970;1:16.869;1:38.878;1:21.223;63.65;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;124;22:55:22.089;09:55:21.513;4:23.214;1:24.982;1:39.422;1:18.810;56.25;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;125;22:59:35.286;09:59:34.710;4:13.197;1:21.766;1:37.348;1:14.083;65.06;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;126;23:03:54.504;10:03:53.928;4:19.218;1:23.460;1:37.688;1:18.070;73.8;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;127;23:08:18.809;10:08:18.233;4:24.305;1:19.139;1:52.660;1:12.506;54.18;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;128;23:12:28.141;10:12:27.565;4:09.332;1:15.300;1:34.912;1:19.120;57.86;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;129;23:16:46.184;10:16:45.608;4:18.043;1:21.529;1:37.421;1:19.093;71.21;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;130;23:21:11.246;10:21:10.670;4:25.062;1:19.882;1:37.852;1:27.328;57.65;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;;;;;131;23:25:28.084;10:25:27.508;4:16.838;1:19.910;1:38.992;1:17.936;;
5;31;Solar Energy Racers SER;;SER-5;;;Damian;Driver Change;23:29:38;5;;132;23:29:58.369;10:29:57.793;4:30.285;1:19.441;1:34.550;;64.93;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;23:35:52;133;23:40:00.727;10:40:00.151;10:02.358;;1:31.519;1:12.028;64.29;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;134;23:44:06.530;10:44:05.954;4:05.803;1:19.397;1:32.552;1:13.854;73.8;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;135;23:48:11.507;10:48:10.931;4:04.977;1:20.166;1:33.116;1:11.695;65.45;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;136;23:52:15.837;10:52:15.261;4:04.330;1:16.712;1:35.228;1:12.390;61.71;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;137;23:56:28.705;10:56:28.129;4:12.868;1:19.361;1:37.691;1:15.816;65.99;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;138;00:45.72;11:00:45.139;4:17.010;1:19.194;1:34.198;1:23.618;64.03;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;139;5:11.691;11:05:11.115;4:25.976;1:18.110;1:52.468;1:15.398;74.48;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;140;9:45.806;11:09:45.230;4:34.115;1:16.408;1:44.146;1:33.561;77.14;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;141;13:43.483;11:13:42.907;3:57.677;1:14.177;1:32.908;1:10.592;65.85;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;142;17:43.060;11:17:42.484;3:59.577;1:14.153;1:32.200;1:13.224;72.32;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;143;21:41.508;11:21:40.932;3:58.448;1:12.495;1:33.801;1:12.152;73.64;
5;31;Solar Energy Racers SER;;SER-5;;;Tobias;;;;;144;25:44.022;11:25:43.446;4:02.514;1:14.437;1:33.046;1:15.031;63.41;
