,pos,nr,name,team,brand,model,drivernum,drivername,pit_reason,time_pit_in,pitcount,time_pit_out,lapnumber,time_of_day (lap end),racetime,laptime,sector_1_time,sector_2_time,sector_3_time,Sector 3,Sector 4,ms_laptime,ms_racetime,energy_used,driver_color
47,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,48,16:24:52.598,03:24:52.022,4:12.092,1:17.580,1:36.138,1:18.374,62.67,,252092.0,12292022.0,-51.633160250833335,blue
48,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,49,16:28:56.567,03:28:55.991,4:03.969,1:15.570,1:33.998,1:14.401,60.67,,243969.0,12535991.0,-50.72766658416667,blue
49,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,50,16:33:03.511,03:33:02.935,4:06.944,1:18.518,1:34.039,1:14.387,60.11,,246944.0,12782935.0,-55.69114138333333,blue
50,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,51,16:37:14.227,03:37:13.651,4:10.716,1:17.710,1:34.531,1:18.475,62.19,,250716.0,13033651.0,-55.403022202500004,blue
51,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,52,16:41:28.053,03:41:27.477,4:13.826,1:18.096,1:39.169,1:16.561,78.64,,253826.0,13287477.0,-53.159978585833336,blue
52,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,53,16:45:32.953,03:45:32.377,4:04.900,1:17.240,1:34.840,1:12.820,64.16,,244900.0,13532377.0,-65.20160586416667,blue
53,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,54,16:49:42.666,03:49:42.090,4:09.713,1:11.449,1:33.194,1:25.070,60.56,,249713.0,13782090.0,-50.51781326333334,blue
54,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,55,16:53:54.391,03:53:53.815,4:11.725,1:18.240,1:34.436,1:19.049,56.06,,251725.0,14033815.0,-50.76885446083334,blue
55,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,56,16:58:10.168,03:58:09.592,4:15.777,1:19.601,1:36.525,1:19.651,60.56,,255777.0,14289592.0,-47.973479519166666,blue
56,5,31,Solar Energy Racers SER,,SER-5,,,Damian,,,,,57,17:02:29.222,04:02:28.646,4:19.054,1:24.319,1:40.987,1:13.748,,,259054.0,14548646.0,-54.20922230833334,blue
57,5,31,Solar Energy Racers SER,,SER-5,,,Damian,Driver Change,17:06:40,2.0,,58,17:06:59.114,04:06:58.538,4:29.892,1:19.574,1:37.422,,63.91,,269892.0,14818538.0,-41.757544655000004,blue
58,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,17:12:26,59,17:17:25.250,04:17:24.674,10:26.136,,1:49.644,1:22.619,56.94,,626136.0,15444674.0,-46.398889786666665,green
59,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,60,17:22:00.150,04:21:59.574,4:34.900,1:27.843,1:43.555,1:23.502,60.11,,274900.0,15719574.0,-48.49881582416667,green
60,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,61,17:26:29.447,04:26:28.871,4:29.297,1:22.136,1:45.248,1:21.913,61.02,,269297.0,15988871.0,-48.63139542333334,green
61,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,62,17:31:08.421,04:31:07.845,4:38.974,1:25.353,1:44.128,1:29.493,60.67,,278974.0,16267845.0,-49.035696141666676,green
62,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,63,17:35:31.915,04:35:31.339,4:23.494,1:23.762,1:39.009,1:20.723,65.72,,263494.0,16531339.0,-46.600131565833344,green
63,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,64,17:39:47.789,04:39:47.213,4:15.874,1:19.649,1:37.483,1:18.742,61.48,,255874.0,16787213.0,-56.80065054250001,green
64,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,65,17:44:17.809,04:44:17.233,4:30.020,1:22.001,1:49.352,1:18.667,59.89,,270020.0,17057233.0,-47.994361985833336,green
65,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,66,17:49:03.590,04:49:03.014,4:45.781,1:31.031,1:47.789,1:26.961,60.56,,285781.0,17343014.0,-47.01607825333333,green
66,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,67,17:53:39.210,04:53:38.634,4:35.620,1:27.716,1:47.641,1:20.263,61.48,,275620.0,17618634.0,-52.66151713,green
67,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,68,17:58:08.559,04:58:07.983,4:29.349,1:23.094,1:46.941,1:19.314,62.19,,269349.0,17887983.0,-45.56558266333334,green
68,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,69,18:02:49.392,05:02:48.816,4:40.833,1:31.837,1:45.525,1:23.471,53.55,,280833.0,18168816.0,-44.3944681625,green
69,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,70,18:07:31.760,05:07:31.184,4:42.368,1:26.984,1:48.175,1:27.209,51.92,,282368.0,18451184.0,-39.30237593583333,green
70,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,71,18:12:23.598,05:12:23.022,4:51.838,1:35.170,1:51.272,1:25.396,53.82,,291838.0,18743022.0,-43.09855202,green
71,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,72,18:17:29.045,05:17:28.469,5:05.447,1:34.873,1:56.145,1:34.429,53.2,,305447.0,19048469.0,-40.27035345916667,green
72,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,73,18:22:20.630,05:22:20.054,4:51.585,1:36.542,1:49.523,1:25.520,51.92,,291585.0,19340054.0,-42.193343598333335,green
73,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,74,18:27:13.504,05:27:12.928,4:52.874,1:35.396,1:51.519,1:25.959,58.38,,292874.0,19632928.0,-39.71133573916667,green
74,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,75,18:32:08.065,05:32:07.489,4:54.561,1:37.119,1:52.185,1:25.257,60.22,,294561.0,19927489.0,-45.03559098833334,green
75,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,76,18:36:49.403,05:36:48.827,4:41.338,1:26.292,1:47.291,1:27.755,67.36,,281338.0,20208827.0,-48.1504640025,green
76,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,77,18:41:17.074,05:41:16.498,4:27.671,1:23.173,1:48.527,1:15.971,59.34,,267671.0,20476498.0,-49.20716721583334,green
77,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,78,18:45:43.259,05:45:42.683,4:26.185,1:19.003,1:37.895,1:29.287,57.55,,266185.0,20742683.0,-48.985311958333334,green
78,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,,,,,79,18:49:52.579,05:49:52.003,4:09.320,1:19.471,1:33.239,1:16.610,,,249320.0,20992003.0,-64.61029444916667,green
79,5,31,Solar Energy Racers SER,,SER-5,,,Jonas,Charge,18:53:57,3.0,,80,18:54:15.940,05:54:15.364,4:23.361,1:20.192,1:32.428,,75.35,,263361.0,21255364.0,-49.245612638333334,green
80,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,19:33:07,81,19:37:14.289,06:37:13.713,42:58.349,,1:32.779,1:14.372,64.41,,2578349.0,23833713.0,4427.9897124633335,orange
81,5,31,Solar Energy Racers SER,,SER-5,,,Tobias,,,,,82,19:41:19.297,06:41:18.721,4:05.008,1:18.308,1:31.877,1:14.823,65.45,,245008.0,24078721.0,-57.51572557166667,orange
